2019-07-24T05:46:37.380Z - error: uncaughtException: this.onSuccess is not a function date=Tue Jul 23 2019 22:46:37 GMT-0700 (Pacific Daylight Time), pid=36965, uid=501, gid=20, cwd=/Users/ericbiewener/Repos/vscode-grab-bag, execPath=/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, version=v10.11.0, argv=[/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, /Applications/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork, --type=extensionHost], rss=517840896, heapTotal=228786176, heapUsed=191949168, external=11959312, loadavg=[0.9970703125, 1.34716796875, 1.34814453125], uptime=487824, trace=[column=13814, file=/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js, function=Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout], line=1, method=setTimeout [as _onTimeout], native=false, column=11, file=timers.js, function=ontimeout, line=425, method=null, native=false, column=5, file=timers.js, function=tryOnTimeout, line=289, method=null, native=false, column=5, file=timers.js, function=listOnTimeout, line=252, method=null, native=false, column=10, file=timers.js, function=Timer.processTimers, line=212, method=processTimers, native=false], stack=[TypeError: this.onSuccess is not a function, 	at Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout] (/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js:1:13814), 	at ontimeout (timers.js:425:11), 	at tryOnTimeout (timers.js:289:5), 	at listOnTimeout (timers.js:252:5), 	at Timer.processTimers (timers.js:212:10)]
2019-07-24T05:47:17.449Z - error: uncaughtException: this.onSuccess is not a function date=Tue Jul 23 2019 22:47:17 GMT-0700 (Pacific Daylight Time), pid=36965, uid=501, gid=20, cwd=/Users/ericbiewener/Repos/vscode-grab-bag, execPath=/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, version=v10.11.0, argv=[/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, /Applications/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork, --type=extensionHost], rss=541224960, heapTotal=245665792, heapUsed=203155616, external=13440913, loadavg=[0.9326171875, 1.2861328125, 1.32421875], uptime=487864, trace=[column=13814, file=/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js, function=Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout], line=1, method=setTimeout [as _onTimeout], native=false, column=11, file=timers.js, function=ontimeout, line=425, method=null, native=false, column=5, file=timers.js, function=tryOnTimeout, line=289, method=null, native=false, column=5, file=timers.js, function=listOnTimeout, line=252, method=null, native=false, column=10, file=timers.js, function=Timer.processTimers, line=212, method=processTimers, native=false], stack=[TypeError: this.onSuccess is not a function, 	at Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout] (/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js:1:13814), 	at ontimeout (timers.js:425:11), 	at tryOnTimeout (timers.js:289:5), 	at listOnTimeout (timers.js:252:5), 	at Timer.processTimers (timers.js:212:10)]
2019-07-24T05:47:25.645Z - error: uncaughtException: this.onSuccess is not a function date=Tue Jul 23 2019 22:47:25 GMT-0700 (Pacific Daylight Time), pid=36965, uid=501, gid=20, cwd=/Users/ericbiewener/Repos/vscode-grab-bag, execPath=/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, version=v10.11.0, argv=[/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, /Applications/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork, --type=extensionHost], rss=530444288, heapTotal=228364288, heapUsed=205770584, external=12982241, loadavg=[1.2568359375, 1.34228515625, 1.34375], uptime=487872, trace=[column=13814, file=/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js, function=Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout], line=1, method=setTimeout [as _onTimeout], native=false, column=11, file=timers.js, function=ontimeout, line=425, method=null, native=false, column=5, file=timers.js, function=tryOnTimeout, line=289, method=null, native=false, column=5, file=timers.js, function=listOnTimeout, line=252, method=null, native=false, column=10, file=timers.js, function=Timer.processTimers, line=212, method=processTimers, native=false], stack=[TypeError: this.onSuccess is not a function, 	at Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout] (/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js:1:13814), 	at ontimeout (timers.js:425:11), 	at tryOnTimeout (timers.js:289:5), 	at listOnTimeout (timers.js:252:5), 	at Timer.processTimers (timers.js:212:10)]
2019-07-24T05:47:26.724Z - error: uncaughtException: this.onSuccess is not a function date=Tue Jul 23 2019 22:47:26 GMT-0700 (Pacific Daylight Time), pid=36965, uid=501, gid=20, cwd=/Users/ericbiewener/Repos/vscode-grab-bag, execPath=/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, version=v10.11.0, argv=[/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, /Applications/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork, --type=extensionHost], rss=545259520, heapTotal=245665792, heapUsed=211361392, external=13192732, loadavg=[1.2568359375, 1.34228515625, 1.34375], uptime=487873, trace=[column=13814, file=/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js, function=Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout], line=1, method=setTimeout [as _onTimeout], native=false, column=11, file=timers.js, function=ontimeout, line=425, method=null, native=false, column=5, file=timers.js, function=tryOnTimeout, line=289, method=null, native=false, column=5, file=timers.js, function=listOnTimeout, line=252, method=null, native=false, column=10, file=timers.js, function=Timer.processTimers, line=212, method=processTimers, native=false], stack=[TypeError: this.onSuccess is not a function, 	at Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout] (/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js:1:13814), 	at ontimeout (timers.js:425:11), 	at tryOnTimeout (timers.js:289:5), 	at listOnTimeout (timers.js:252:5), 	at Timer.processTimers (timers.js:212:10)]
2019-07-24T05:53:29.119Z - error: uncaughtException: this.onSuccess is not a function date=Tue Jul 23 2019 22:53:29 GMT-0700 (Pacific Daylight Time), pid=36965, uid=501, gid=20, cwd=/Users/ericbiewener/Repos/vscode-grab-bag, execPath=/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, version=v10.11.0, argv=[/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, /Applications/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork, --type=extensionHost], rss=518402048, heapTotal=214732800, heapUsed=197615928, external=13167756, loadavg=[1.56640625, 1.4013671875, 1.34814453125], uptime=488236, trace=[column=13814, file=/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js, function=Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout], line=1, method=setTimeout [as _onTimeout], native=false, column=11, file=timers.js, function=ontimeout, line=425, method=null, native=false, column=5, file=timers.js, function=tryOnTimeout, line=289, method=null, native=false, column=5, file=timers.js, function=listOnTimeout, line=252, method=null, native=false, column=10, file=timers.js, function=Timer.processTimers, line=212, method=processTimers, native=false], stack=[TypeError: this.onSuccess is not a function, 	at Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout] (/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js:1:13814), 	at ontimeout (timers.js:425:11), 	at tryOnTimeout (timers.js:289:5), 	at listOnTimeout (timers.js:252:5), 	at Timer.processTimers (timers.js:212:10)]
2019-07-24T06:01:55.675Z - error: uncaughtException: this.onSuccess is not a function date=Tue Jul 23 2019 23:01:55 GMT-0700 (Pacific Daylight Time), pid=38890, uid=501, gid=20, cwd=/Users/ericbiewener/Repos/vscode-grab-bag, execPath=/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, version=v10.11.0, argv=[/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, /Applications/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork, --type=extensionHost], rss=569020416, heapTotal=223543296, heapUsed=197439752, external=12077859, loadavg=[0.98095703125, 1.04541015625, 1.2001953125], uptime=488742, trace=[column=13814, file=/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js, function=Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout], line=1, method=setTimeout [as _onTimeout], native=false, column=11, file=timers.js, function=ontimeout, line=425, method=null, native=false, column=5, file=timers.js, function=tryOnTimeout, line=289, method=null, native=false, column=5, file=timers.js, function=listOnTimeout, line=252, method=null, native=false, column=10, file=timers.js, function=Timer.processTimers, line=212, method=processTimers, native=false], stack=[TypeError: this.onSuccess is not a function, 	at Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout] (/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js:1:13814), 	at ontimeout (timers.js:425:11), 	at tryOnTimeout (timers.js:289:5), 	at listOnTimeout (timers.js:252:5), 	at Timer.processTimers (timers.js:212:10)]
2019-07-24T06:08:08.374Z - error: uncaughtException: this.onSuccess is not a function date=Tue Jul 23 2019 23:08:08 GMT-0700 (Pacific Daylight Time), pid=38981, uid=501, gid=20, cwd=/Users/ericbiewener/Repos/vscode-grab-bag, execPath=/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, version=v10.11.0, argv=[/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, /Applications/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork, --type=extensionHost], rss=531709952, heapTotal=260243456, heapUsed=195701944, external=12579329, loadavg=[2.90966796875, 1.6806640625, 1.380859375], uptime=489115, trace=[column=13814, file=/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js, function=Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout], line=1, method=setTimeout [as _onTimeout], native=false, column=11, file=timers.js, function=ontimeout, line=425, method=null, native=false, column=5, file=timers.js, function=tryOnTimeout, line=289, method=null, native=false, column=5, file=timers.js, function=listOnTimeout, line=252, method=null, native=false, column=10, file=timers.js, function=Timer.processTimers, line=212, method=processTimers, native=false], stack=[TypeError: this.onSuccess is not a function, 	at Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout] (/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js:1:13814), 	at ontimeout (timers.js:425:11), 	at tryOnTimeout (timers.js:289:5), 	at listOnTimeout (timers.js:252:5), 	at Timer.processTimers (timers.js:212:10)]
2019-07-24T06:09:50.473Z - error: uncaughtException: this.onSuccess is not a function date=Tue Jul 23 2019 23:09:50 GMT-0700 (Pacific Daylight Time), pid=39072, uid=501, gid=20, cwd=/Users/ericbiewener/Repos/vscode-grab-bag, execPath=/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, version=v10.11.0, argv=[/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, /Applications/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork, --type=extensionHost], rss=567906304, heapTotal=270651392, heapUsed=230454272, external=14173188, loadavg=[2.501953125, 1.78857421875, 1.4482421875], uptime=489217, trace=[column=13814, file=/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js, function=Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout], line=1, method=setTimeout [as _onTimeout], native=false, column=11, file=timers.js, function=ontimeout, line=425, method=null, native=false, column=5, file=timers.js, function=tryOnTimeout, line=289, method=null, native=false, column=5, file=timers.js, function=listOnTimeout, line=252, method=null, native=false, column=10, file=timers.js, function=Timer.processTimers, line=212, method=processTimers, native=false], stack=[TypeError: this.onSuccess is not a function, 	at Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout] (/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js:1:13814), 	at ontimeout (timers.js:425:11), 	at tryOnTimeout (timers.js:289:5), 	at listOnTimeout (timers.js:252:5), 	at Timer.processTimers (timers.js:212:10)]
2019-07-24T06:11:21.318Z - error: uncaughtException: this.onSuccess is not a function date=Tue Jul 23 2019 23:11:21 GMT-0700 (Pacific Daylight Time), pid=39124, uid=501, gid=20, cwd=/Users/ericbiewener/Repos/vscode-grab-bag, execPath=/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, version=v10.11.0, argv=[/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, /Applications/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork, --type=extensionHost], rss=516161536, heapTotal=215678976, heapUsed=187673816, external=12019532, loadavg=[1.7392578125, 1.7099609375, 1.4482421875], uptime=489308, trace=[column=13814, file=/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js, function=Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout], line=1, method=setTimeout [as _onTimeout], native=false, column=11, file=timers.js, function=ontimeout, line=425, method=null, native=false, column=5, file=timers.js, function=tryOnTimeout, line=289, method=null, native=false, column=5, file=timers.js, function=listOnTimeout, line=252, method=null, native=false, column=10, file=timers.js, function=Timer.processTimers, line=212, method=processTimers, native=false], stack=[TypeError: this.onSuccess is not a function, 	at Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout] (/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js:1:13814), 	at ontimeout (timers.js:425:11), 	at tryOnTimeout (timers.js:289:5), 	at listOnTimeout (timers.js:252:5), 	at Timer.processTimers (timers.js:212:10)]
2019-07-25T03:36:31.387Z - error: uncaughtException: this.onSuccess is not a function date=Wed Jul 24 2019 20:36:31 GMT-0700 (Pacific Daylight Time), pid=41368, uid=501, gid=20, cwd=/Users/ericbiewener/Repos/vscode-grab-bag, execPath=/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, version=v10.11.0, argv=[/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, /Applications/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork, --type=extensionHost], rss=483524608, heapTotal=209387520, heapUsed=183118400, external=11556445, loadavg=[1.95361328125, 1.97802734375, 1.900390625], uptime=566417, trace=[column=13814, file=/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js, function=Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout], line=1, method=setTimeout [as _onTimeout], native=false, column=11, file=timers.js, function=ontimeout, line=425, method=null, native=false, column=5, file=timers.js, function=tryOnTimeout, line=289, method=null, native=false, column=5, file=timers.js, function=listOnTimeout, line=252, method=null, native=false, column=10, file=timers.js, function=Timer.processTimers, line=212, method=processTimers, native=false], stack=[TypeError: this.onSuccess is not a function, 	at Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout] (/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js:1:13814), 	at ontimeout (timers.js:425:11), 	at tryOnTimeout (timers.js:289:5), 	at listOnTimeout (timers.js:252:5), 	at Timer.processTimers (timers.js:212:10)]
2019-07-25T03:38:54.620Z - error: uncaughtException: this.onSuccess is not a function date=Wed Jul 24 2019 20:38:54 GMT-0700 (Pacific Daylight Time), pid=41419, uid=501, gid=20, cwd=/Users/ericbiewener/Repos/vscode-grab-bag, execPath=/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, version=v10.11.0, argv=[/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper, /Applications/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork, --type=extensionHost], rss=558215168, heapTotal=269611008, heapUsed=234374136, external=14905285, loadavg=[2.2158203125, 2.02734375, 1.923828125], uptime=566560, trace=[column=13814, file=/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js, function=Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout], line=1, method=setTimeout [as _onTimeout], native=false, column=11, file=timers.js, function=ontimeout, line=425, method=null, native=false, column=5, file=timers.js, function=tryOnTimeout, line=289, method=null, native=false, column=5, file=timers.js, function=listOnTimeout, line=252, method=null, native=false, column=10, file=timers.js, function=Timer.processTimers, line=212, method=processTimers, native=false], stack=[TypeError: this.onSuccess is not a function, 	at Timeout.t.Delayer.trigger.timeout.setTimeout [as _onTimeout] (/Applications/Visual Studio Code.app/Contents/Resources/app/extensions/merge-conflict/dist/extension.js:1:13814), 	at ontimeout (timers.js:425:11), 	at tryOnTimeout (timers.js:289:5), 	at listOnTimeout (timers.js:252:5), 	at Timer.processTimers (timers.js:212:10)]
